Dataset,Solver,WarmStart,C,Rho,Method,Seed,Objective,Accuracy,AUC,F1,ScreeningRate,Time,ScreenTime,Iterations,Status
svmguide1,SCS,False,0.05,0.0,Baseline,10,39.78819672,0.85275081,0.93548165,0.88639201,0.0,0.47391105,0.0,2350,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,10,39.78819683,0.85275081,0.93548165,0.88639201,0.56882591,0.12619591,0.00332451,875,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,10,44.42723601,0.85760518,0.9337156,0.89,0.0,1.08486915,0.0,3325,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,10,44.42723569,0.85760518,0.9337156,0.89,0.52935223,0.14002013,0.00318098,875,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,10,76.72047326,0.85598706,0.93520642,0.88805031,0.0,0.49331713,0.0,2475,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,10,76.72047221,0.85598706,0.93520642,0.88805031,0.59311741,0.11420941,0.00317526,700,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,10,86.79515865,0.85598706,0.93508028,0.88971499,0.0,0.41689587,0.0,1900,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,10,86.79515781,0.85598706,0.93508028,0.88971499,0.54706478,0.14449477,0.00346875,950,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,11,8.99360274,0.84304207,0.94475917,0.88786127,0.0,0.89739251,0.0,2850,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,11,8.99360273,0.84304207,0.94475917,0.88786127,0.48684211,0.12923861,0.00319409,750,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,11,9.72775051,0.85436893,0.94275229,0.89361702,0.0,0.11287642,0.0,450,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,11,9.7277505,0.85436893,0.94275229,0.89361702,0.45799595,0.11263537,0.00329638,475,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,11,38.80775891,0.88673139,0.95087156,0.91183879,0.0,0.16602159,0.0,725,SUCCESS
